Group.1;Group.2;Group.1;original_genename;baseMean;log2FoldChange;lfcSE;pvalue;padj;gene;description_ITAG4.0;goterm;gene_id_versionless;ensembl_gene_id;description_ITAG3.0;athaliana_eg_homolog_ensembl_gene;athaliana_eg_homolog_associated_gene_name;external_gene_name;athaliana_eg_homolog_perc_id;compartment
Solyc02g080145.1.1;both;Solyc02g080145.1;Solyc02g080145.1.1;6.98466650279412;2.70064965398397e-06;0.00144269605692245;2.34018557926034e-06;0.040624914920033;Solyc02g080145.1;Unknown protein;;Solyc02g080145;"NA";"NA";"NA";"NA";"NA";"NA";both
Solyc04g079450.4.1;both;Solyc04g079450.4;Solyc04g079450.4.1;5.28344490217577;-7.06603372661202;2.83104176070352;3.79459321128647e-06;0.040624914920033;Solyc04g079450.4;Serpin-ZX (AHRD V3.3 *** A0A2G2ZRU3_CAPAN);;Solyc04g079450;Solyc04g079450.3;;;;;"NA";both
Solyc01g102890.4.1;root;Solyc01g102890.4;Solyc01g102890.4.1;157.787124832873;-1.2980068523572e-05;0.00144271747908956;4.85717163943087e-08;0.00053099050914184;Solyc01g102890.4;Germin-like protein subfamily.1;GO:0045735;Solyc01g102890;Solyc01g102890.3;;AT3G04190,AT3G04180,AT5G39150,AT3G04170,AT3G04200,AT5G38910,AT3G04150,AT5G39120,AT5G39190,AT5G38960,AT4G14630,AT5G38940,AT5G39180,AT5G38930,AT5G39160,AT5G39130,AT5G39110,AT3G05950;,GLP5A,GLP9,GLP2A;;50,47.541,59.4262,53.6885,56.9672,47.9508,58.1967,56.5574,56.1475,57.7869,58.6066,57.377,59.0164;root
Solyc01g102895.1.1;root;Solyc01g102895.1;Solyc01g102895.1.1;290.400043538092;-1.36064603318847;0.33014411223867;1.42070504325508e-06;0.00498847029838454;Solyc01g102895.1;Germin-like protein subfamily.1;GO:0045735;Solyc01g102895;"NA";"NA";"NA";"NA";"NA";"NA";root
Solyc02g032660.3.1;root;Solyc02g032660.3;Solyc02g032660.3.1;113.830500364512;-1.0039038739882;0.266657695171932;6.17359865796394e-06;0.011909243825607;Solyc02g032660.3;Protein DETOXIFICATION (AHRD V3.3 *** A0A328DGG9_9ASTE);GO:0006855,GO:0015238,GO:0015297,GO:0016020,GO:0055085;Solyc02g032660;Solyc02g032660.3;"Protein DETOXIFICATION [Source:UniProtKB/TrEMBL;Acc:K4B5L0]";;;;"NA";root
Solyc02g071620.3.1;root;Solyc02g071620.3;Solyc02g071620.3.1;26.9338277094207;3.45146310793828;1.0248270743298;2.15530462011459e-05;0.0246617561590995;Solyc02g071620.3;GDSL-motif lipase/hydrolase family protein 1;GO:0016788;Solyc02g071620;"NA";"NA";"NA";"NA";"NA";"NA";root
Solyc02g091920.3.1;root;Solyc02g091920.3;Solyc02g091920.3.1;63.0166523072256;2.85358240218729;0.660685233978505;6.17494290456964e-07;0.00300287473449222;Solyc02g091920.3;xyloglucan endotransglucosylase-hydrolase 7;GO:0004553,GO:0005975;Solyc02g091920;Solyc02g091920.3;"Xyloglucan endotransglucosylase/hydrolase [Source:UniProtKB/TrEMBL;Acc:K4BCZ0]";AT4G37800;XTH7;;72.5424;root
Solyc03g034220.3.1;root;Solyc03g034220.3;Solyc03g034220.3.1;1328.80064503451;1.15076478781401;0.322302813870806;1.32370817476849e-05;0.0166229551417179;Solyc03g034220.3;Tomato RuBP carboxylase small subunit;;Solyc03g034220;Solyc03g034220.3;"Ribulose bisphosphate carboxylase small chain 2A, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P07179]";AT5G38420,AT1G67090,AT5G38410,AT5G38430;RBCS-2B,RBCS-1A,,RBCS-1B;RBCS-2A;73.3333,70.5556,74.4444;root
Solyc07g016215.1.1;root;Solyc07g016215.1;Solyc07g016215.1.1;2784.85456602235;-1.55511549976832;0.382299068668528;1.67078377261357e-06;0.00498847029838454;Solyc07g016215.1;Organ specific protein (AHRD V3.3 *** A0A2U1PWC1_ARTAN);;Solyc07g016215;Solyc07g016215.1;;;;;"NA";root
Solyc07g052210.3.1;root;Solyc07g052210.3;Solyc07g052210.3.1;43.1966293808387;3.21218514409646;0.842819907654108;4.69344313589502e-06;0.0114121069849287;Solyc07g052210.3;Glycine-rich cell wall structural protein 1 (AHRD V3.11 --* sp|P09789|GRP1_PETHY);;Solyc07g052210;"NA";"NA";"NA";"NA";"NA";"NA";root
Solyc07g055740.1.1;root;Solyc07g055740.1;Solyc07g055740.1.1;13.3493871404562;6.10127199293506;1.79120941875859;5.69602796722731e-06;0.011909243825607;Solyc07g055740.1;strictosidine synthase;GO:0009058,GO:0016844;Solyc07g055740;Solyc07g055740.1;;AT3G57030;SSL10;;59.2593;root
Solyc08g065670.4.1;root;Solyc08g065670.4;Solyc08g065670.4.1;105.018493650695;-2.16245561890102;0.587648835820873;7.95908748369788e-06;0.011909243825607;Solyc08g065670.4;Protein phosphatase 2C family protein (AHRD V3.3 *** A0A2U1LRS6_ARTAN);GO:0003824;Solyc08g065670;Solyc08g065670.3;;AT4G32950,AT5G26010;;;50.2976,51.1905;root
Solyc08g067030.3.1;root;Solyc08g067030.3;Solyc08g067030.3.1;107.087739109753;2.31518749265829;0.65468696241714;1.36730044348903e-05;0.0166229551417179;Solyc08g067030.3;DUF642 domain-containing protein (AHRD V3.3 *** A0A1Q3BRG3_CEPFO);;Solyc08g067030;Solyc08g067030.3;;AT5G25460,AT4G32460,AT5G11420;;;68.1941,67.1159,71.159;root
Solyc08g078880.3.1;root;Solyc08g078880.3;Solyc08g078880.3.1;20.6735292184378;-4.39801041116111e-06;0.00144269745017009;1.02838149417758e-05;0.0142886263033874;Solyc08g078880.3;Cation/H(+) antiporter 15 (AHRD V3.3 *** A0A2G3CC26_CAPCH);GO:0006812,GO:0015299,GO:0016021,GO:0055085;Solyc08g078880;Solyc08g078880.3;;AT2G13620;CHX15;;66.8263;root
Solyc09g011080.3.1;root;Solyc09g011080.3;Solyc09g011080.3.1;145.81860246485;1.64420743717664;0.442086084573715;7.33001344068687e-06;0.011909243825607;Solyc09g011080.3;Ribulose bisphosphate carboxylase/oxygenase activase, chloroplastic (AHRD V3.3 *** A0A2G2VP29_CAPBA);GO:0005524;Solyc09g011080;Solyc09g011080.3;;;;;"NA";root
Solyc09g018010.3.1;root;Solyc09g018010.3;Solyc09g018010.3.1;51.2194034712707;2.91391331607201;0.614802900163051;7.99170849506433e-08;0.00053099050914184;Solyc09g018010.3;Non-specific lipid-transfer protein (AHRD V3.3 *** M0ZNZ5_SOLTU);;Solyc09g018010;Solyc09g018010.3;;;;;"NA";root
Solyc09g091510.3.1;root;Solyc09g091510.3;Solyc09g091510.3.1;125.171129854147;2.00272666963281;0.61639945863784;3.75211714507137e-05;0.0364930913529641;Solyc09g091510.3;chalcone synthase 1;;Solyc09g091510;Solyc09g091510.3;;AT5G13930;CHS;;85.09;root
Solyc09g092720.3.1;root;Solyc09g092720.3;Solyc09g092720.3.1;156.344591829624;1.85152807698523;0.454919998524469;1.79515176273349e-06;0.00498847029838454;Solyc09g092720.3;glycine-rich protein 3 short isoform-like (AHRD V3.3 *** XP_004247911.1);;Solyc09g092720;"NA";"NA";"NA";"NA";"NA";"NA";root
Solyc09g097770.3.1;root;Solyc09g097770.3;Solyc09g097770.3.1;1230.63537624003;2.59719618293036;0.825731514965609;5.16202164990256e-05;0.0456416568790476;Solyc09g097770.3;Cell wall protein (AHRD V3.3 *** Q40142_SOLLC);;Solyc09g097770;"NA";"NA";"NA";"NA";"NA";"NA";root
